1358400256,1358400511,AFGHANISTAN
3642070112,3642070127,AFGHANISTAN
3650609920,3650610175,AFGHANISTAN
3650610688,3650611455,AFGHANISTAN
1347305472,1347309567,ALBANIA
3252439552,3252439583,ALBANIA
3254649088,3254649855,ALBANIA
3273049856,3273050111,ALBANIA
3273051648,3273051967,ALBANIA
3642290176,3642294271,ALBANIA
1044234240,1044250623,ALGERIA
1049707520,1049708031,ALGERIA
1346600960,1346605055,ALGERIA
1347944448,1347948543,ALGERIA
1357367296,1357367807,ALGERIA
1358299136,1358303231,ALGERIA
1358512128,1358516223,ALGERIA
1360412672,1360420863,ALGERIA
1360429056,1360433151,ALGERIA
1360674816,1360678911,ALGERIA
1361035628,1361035631,ALGERIA
1361035668,1361035671,ALGERIA
1361035752,1361035759,ALGERIA
1361035784,1361035807,ALGERIA
1361036316,1361036327,ALGERIA
1361036336,1361036351,ALGERIA
1361036360,1361036367,ALGERIA
1361036372,1361036375,ALGERIA
1361036464,1361036471,ALGERIA
1361036512,1361036543,ALGERIA
3237319680,3237319935,ALGERIA
3240727040,3240727551,ALGERIA
3250733056,3250741247,ALGERIA
3254489088,3254489343,ALGERIA
3254491136,3254491391,ALGERIA
3254495488,3254495743,ALGERIA
3254496768,3254497247,ALGERIA
3273150464,3273152511,ALGERIA
3274168832,3274169343,ALGERIA
3567606272,3567606783,ALGERIA
3582615808,3582616319,ALGERIA
3582616576,3582616831,ALGERIA
3585318912,3585327103,ALGERIA
3642609664,3642613759,ALGERIA
3262479282,3262479282,ANDORRA
3265150976,3265159167,ANDORRA
3278943684,3278943684,ANDORRA
3278943735,3278943735,ANDORRA
1043918336,1043918847,ANGOLA
3252425472,3252425535,ANGOLA
3253469184,3253471231,ANGOLA
3262478121,3262478121,ANGOLA
3262478347,3262478347,ANGOLA
3272085504,3272086015,ANGOLA
3272087296,3272087551,ANGOLA
3278939592,3278939595,ANGOLA
3278939756,3278939759,ANGOLA
3290284032,3290288127,ANGOLA
3641355264,3641355519,ANGOLA
3642028320,3642028327,ANGOLA
1160921088,1160925183,ANTIGUA AND BARBUDA
1161420800,1161424895,ANTIGUA AND BARBUDA
3649709296,3649709311,ANTIGUA AND BARBUDA
1042296832,1042297087,AZERBAIJAN
1042299904,1042300159,AZERBAIJAN
1054138368,1054146559,AZERBAIJAN
1054441472,1054449663,AZERBAIJAN
3259225344,3259226111,AZERBAIJAN
3260353536,3260353791,AZERBAIJAN
