33996344,33996351,UNITED KINGDOM
50331648,69956103,UNITED STATES
69956104,69956111,BERMUDA
69956112,83886079,UNITED STATES
94585424,94585439,SWEDEN
100663296,121195295,UNITED STATES
121195296,121195327,ITALY
121195328,152305663,UNITED STATES
152305664,152338431,UNITED KINGDOM
152338432,167772159,UNITED STATES
184549376,201620303,UNITED STATES
201620304,201620311,CANADA
201620312,201674095,UNITED STATES
201674096,201674111,CANADA
201674112,201897983,UNITED STATES
201897984,201898239,PUERTO RICO
201898240,202035199,UNITED STATES
202035200,202035711,INDIA
202035712,202385407,UNITED STATES
202385408,202385919,PUERTO RICO
202385920,202706431,UNITED STATES
202706432,202706943,PUERTO RICO
202706944,203197063,UNITED STATES
203197064,203197071,CANADA
203197072,203545351,UNITED STATES
203545352,203545359,CANADA
203545360,203751623,UNITED STATES
203751624,203751631,CANADA
203751632,203850679,UNITED STATES
203850680,203850687,CANADA
203850688,203933791,UNITED STATES
203933792,203933807,CANADA
203933808,205500987,UNITED STATES
205500988,205500991,CANADA
205500992,208605279,UNITED STATES
208605280,208605311,CANADA
208605312,210784255,UNITED STATES
210784256,210784383,BOLIVIA
210784384,210784767,UNITED STATES
210784768,210786303,BOLIVIA
210786304,212787199,UNITED STATES
212787200,212788223,PUERTO RICO
212788224,214858655,UNITED STATES
214858656,214858671,NETHERLANDS
214858672,260227071,UNITED STATES
260227072,260231167,UNITED KINGDOM
260231168,260976639,UNITED STATES
260976640,260980735,UNITED KINGDOM
260980736,264482815,UNITED STATES
264482816,264486911,GERMANY
264486912,264495103,UNITED STATES
264495104,264503295,SWITZERLAND
264503296,264617983,UNITED STATES
264617984,264667135,GERMANY
264667136,264699903,UNITED STATES
264699904,264716287,SWITZERLAND
264716288,264798207,UNITED STATES
264798208,264802303,UNITED KINGDOM
264802304,265023487,UNITED STATES
265023488,265027583,UNITED KINGDOM
265027584,265277439,UNITED STATES
265277440,265289727,UNITED KINGDOM
265289728,289011535,UNITED STATES
289011536,289011543,ITALY
289011544,323243895,UNITED STATES
323243896,323243903,FRANCE
323243904,332132119,UNITED STATES
332132120,332132127,ISRAEL
332132128,355993887,UNITED STATES
355993888,355993895,ITALY
355993896,368674047,UNITED STATES
368674048,368674303,SPAIN
368674304,385875967,UNITED STATES
386665696,386665727,UNITED KINGDOM
386666240,386666367,UNITED KINGDOM
393849728,393849735,UNITED KINGDOM
402653184,404619263,UNITED STATES
404652032,404676607,UNITED STATES
404692992,404750335,UNITED STATES
404815872,404881407,UNITED STATES
404946944,404979711,UNITED STATES
405012480,405143551,CANADA
405209088,405295103,UNITED STATES
405307392,405331967,UNITED STATES
405340160,405364735,UNITED STATES
405536768,405798911,UNITED STATES
406323200,406347775,UNITED STATES
406355968,406388735,UNITED STATES
406388736,406454271,CANADA
406454272,406585343,UNITED STATES
406847488,407408639,CANADA
407408640,407568383,UNITED STATES
407569408,407570431,UNITED STATES
407574528,407575551,UNITED STATES
407578976,407579007,UNITED STATES
407579648,407581695,UNITED STATES
407591792,407591807,UNITED STATES
407591936,407592703,UNITED STATES
407592960,407595007,UNITED STATES
407596544,407596799,UNITED STATES
407601920,407602175,UNITED STATES
407602944,407603199,UNITED STATES
407603456,407603711,UNITED STATES
407633920,408420351,CANADA
408420352,408494079,UNITED STATES
408502272,408518655,CANADA
408535040,408551423,CANADA
408551424,408616959,UNITED STATES
408682496,408719359,UNITED STATES
408723456,409075711,UNITED STATES
409468928,409509887,UNITED STATES
409534464,409550847,UNITED STATES
409567232,409591807,UNITED STATES
409600000,409731071,UNITED STATES
409731072,409862143,CANADA
409862144,409993215,UNITED STATES
410058752,410124287,UNITED STATES
410189824,410386431,UNITED STATES
410451968,410648575,UNITED STATES
410648576,410714111,CANADA
410714112,410779647,UNITED STATES
410812416,410845183,UNITED STATES
411140096,411156479,UNITED STATES
411303936,411369471,NETHERLANDS
411566080,411639807,UNITED STATES
411648000,411664383,CANADA
411664384,411680767,UNITED STATES
411680768,411688959,CANADA
411697152,411717631,CANADA
411729920,411746303,CANADA
411762688,411770879,CANADA
411828224,411885567,UNITED STATES
411893760,411959295,CANADA
411959296,412031487,UNITED STATES
412031744,412033023,UNITED STATES
412041216,412049407,UNITED STATES
412057600,412069887,UNITED STATES
412090368,412155903,UNITED STATES
412188672,412221439,UNITED STATES
412221440,412229631,CANADA
412352512,412434431,UNITED STATES
412450816,412483583,UNITED STATES
412483584,412549119,CANADA
412549120,412614655,UNITED STATES
412614656,412647423,CHILE
